date,storage_pct_full,storage_vs_5yr_avg_ppt,storage_5yr_avg,injection_gwh,injection_30d_avg_gwh,injection_vs_30d_avg_gwh,ttf_price_eur_mwh,ttf_30d_momentum_pct,ttf_90d_momentum_pct,ttf_curve_premium_pct,eua_price_eur,eua_30d_momentum_pct,gas_carbon_30d_corr,de_da_price_eur_mwh,fr_da_price_eur_mwh,nl_da_price_eur_mwh,be_da_price_eur_mwh,es_da_price_eur_mwh,clean_spark_spread_eur_mwh,de_power_gas_spread_mwh
2025-11-09,82.55,-6.7379999999999995,89.288,629.29,,,,,,,,,,99.0046875,60.37041666666667,93.5203125,89.13322916666668,57.8996875,,
2025-11-10,82.39,-6.7620000000000005,89.152,564.24,,,31.07099914550781,,,,76.93499755859375,,,109.8884375,49.130208333333336,97.5665625,82.77947916666666,81.68635416666667,30.937365655393016,78.81743835449218
2025-11-11,82.3,-6.748000000000005,89.048,896.38,,,31.101999282836918,,,,77.68499755859375,,,96.88729166666668,22.820833333333336,85.92770833333333,71.19364583333333,66.8775,17.721454235673768,65.78529238382977
2025-11-12,82.22,-6.706000000000003,88.926,822.38,,,30.933000564575195,,,,78.87999725341797,,,80.32375,21.2346875,73.09552083333334,67.28010416666667,27.780833333333334,1.2614179740438676,49.39074943542481
2025-11-13,82.11,-6.670000000000002,88.78,682.14,718.886,-36.74599999999998,30.45800018310547,,,,78.27999877929688,,,69.84625,31.58520833333333,75.79052083333333,64.2753125,31.89979166666667,-8.125493800571993,39.38824981689453
2025-11-14,82.03,-6.597999999999999,88.628,739.24,722.2783333333333,16.9616666666667,31.25,,,,77.9800033569336,,,106.733125,25.999791666666667,93.33625,80.3075,29.39333333333333,27.20565411781778,75.483125
2025-11-15,81.98,-6.4539999999999935,88.434,825.07,736.9628571428572,88.10714285714289,31.25,,,,77.9800033569336,,,90.70489583333334,31.2796875,82.99916666666667,77.1909375,31.4628125,11.177424951151117,59.45489583333334
2025-11-16,81.89,-6.327999999999989,88.21799999999999,631.66,723.8,-92.13999999999999,31.25,,,,77.9800033569336,,,101.43625,36.919583333333335,91.4915625,85.00010416666667,34.138958333333335,21.90877911781778,70.18625
2025-11-17,81.62,-6.3799999999999955,88.0,300.7,676.7888888888889,-376.0888888888889,31.417999267578125,,,,76.86000061035156,,,94.71447916666666,63.59395833333334,84.48645833333333,89.513125,79.20677083333334,15.070393191175391,63.29647989908854
2025-11-18,81.16,-6.603999999999999,87.764,234.59,632.569,-397.9789999999999,31.694000244140625,,,,78.18000030517578,,,101.96520833333334,88.05572916666667,99.61895833333334,99.11489583333334,79.07770833333333,21.49121512038043,70.27120808919271
2025-11-19,80.7,-6.834000000000003,87.534,185.87,591.96,-406.09000000000003,30.940000534057617,,,,77.63500213623047,,-0.24772207814931838,102.534375,87.57989583333334,99.640625,98.74239583333332,100.16385416666668,23.709246335710795,71.59437446594238
2025-11-20,80.14,-7.116,87.256,143.62,554.5983333333334,-410.97833333333335,31.15900039672852,,,,78.25,,-0.23754131244913057,125.98635416666669,102.18677083333334,122.61395833333334,116.62854166666666,84.54489583333334,46.590057438649296,94.82735376993817
2025-11-21,79.54,-7.387999999999991,86.928,146.31,523.1915384615385,-376.88153846153847,30.197999954223636,,,,77.4749984741211,,-0.03515149066552339,146.4821875,112.72145833333332,141.46208333333334,133.6184375,60.141041666666666,69.20366647307728,116.28418754577638
2025-11-22,79.07,-7.463999999999999,86.53399999999999,233.77,502.5185714285714,-268.7485714285714,30.197999954223636,,,,77.4749984741211,,0.06727923110773253,91.2475,86.1615625,88.11885416666667,91.37958333333334,59.06958333333333,13.968978973077263,61.04950004577637
2025-11-23,78.63,-7.522000000000006,86.152,342.89,491.87666666666667,-148.98666666666668,30.197999954223636,,,,77.4749984741211,,0.13302106363171284,71.42635416666667,69.90927083333334,72.7146875,71.76958333333333,39.87583333333333,-5.8521668602560695,41.22835421244304
2025-11-24,78.08,-7.685999999999993,85.76599999999999,172.67,471.92625,-299.25625,29.746999740600582,,,,77.58499908447266,,0.16609041731297344,132.36197916666666,77.94052083333334,122.12104166666668,111.32854166666668,41.774166666666666,55.98164661568362,102.61497942606607
2025-11-25,77.52,-7.908000000000001,85.428,133.53,452.02058823529416,-318.4905882352941,29.38599967956543,,,,78.79499816894531,,-0.12936537963936293,220.5169791666667,70.0,147.57250000000002,108.04802083333334,48.16635416666667,144.62896161905925,191.13097948710126
2025-11-26,76.93,-8.153999999999996,85.084,134.54,434.3827777777778,-299.84277777777777,29.368000030517575,,,,78.48500061035156,,-0.23872990852570747,161.5178125,96.3196875,151.691875,132.84479166666668,69.2121875,85.72914843687718,132.1498124694824
2025-11-27,76.4,-8.323999999999998,84.724,236.09,423.94631578947366,-187.85631578947365,29.368000030517575,,,,79.2750015258789,,-0.39506196837278335,91.17833333333334,83.9303125,83.4753125,89.28677083333334,86.01583333333333,15.230089085274013,61.81033330281576
2025-11-28,75.94,-8.366000000000014,84.30600000000001,233.11,414.4045,-181.29449999999997,28.816999435424805,,,,80.07499694824219,,-0.5703998488420203,85.04822916666667,78.09708333333333,81.24260416666667,81.89520833333333,98.72885416666666,10.062876853683374,56.23122973124187
2025-11-29,75.62,-8.21799999999999,83.838,367.74,412.1823809523809,-44.442380952380915,28.816999435424805,,,,80.07499694824219,,-0.6581352386890681,90.19322916666664,73.81010416666668,87.58947916666666,86.97458333333333,82.23447916666667,15.207876853683342,61.376229731241835
2025-11-30,75.21,-8.146,83.356,326.57,408.29090909090905,-81.72090909090906,28.816999435424805,,,,80.07499694824219,,-0.7111535766417356,84.1484375,78.3259375,82.8196875,82.711875,74.91572916666667,9.163085187016701,55.331438064575195
